name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Pro Energy Dynamics LLC (Batch 1),Germany,Pharmaceuticals,704,704,563.9,19.9,2188,131331,131331,18219,673,31.6,0.64,36.3,1.18,23.5,30,66.8,67.1,true,0.75,0.89,0.9,0.5,0.67,0.84,0.66,0.57,0.55,0.75,0.9,0.93,0.28,0.31,0.27,0.31,0.92,0.6,0.29,0,74.8,69.5,80.5,76,low,74.8,74.8,0.81
Eco Electronics Solutions Ltd. (Batch 1),South Korea,Food & Beverage,2975.1,2975.1,2606.2,12.4,9089,99279,99279,49692,1837,47.7,2.08,34.4,1.21,22.3,50.4,74.6,52.2,true,0.66,0.7,0.8,0.58,0.57,0.8,0.66,0.78,0.95,0.83,0.57,0.55,0.15,0.15,0.12,0.25,0.61,0.51,0.14,0,74.5,84.3,64.9,71.1,low,74.5,74.5,0.81
Ultra Technology Limited  (Batch 1),India,Textiles & Apparel,100.1,100.1,69.1,31,425,107967,107967,39447,1190,7,1.81,28.6,1.09,36.8,49.7,42.5,53.3,false,0.72,0.9,0.74,0.47,0.85,0.93,0.87,0.89,0.74,0.74,0.63,0.59,0.3,0.31,0.3,0.24,0.88,0.62,0.3,0,64.4,62.1,74.7,57.3,medium,64.4,64.4,0.81
Global Manufacturing Technologies  (Batch 1),United States,Food & Beverage,3810.4,3810.4,2484.4,34.8,13569,73743,73743,66149,1190,53,0.58,22.3,1.05,52,21,52.7,81.2,false,0.61,0.5,0.64,0.87,0.5,0.65,0.8,0.62,0.63,0.68,0.92,0.9,0.38,0.41,0.37,0.6,0.68,0.88,0.39,135,0,85.9,76.7,58.8,medium,75,0,0.81
Elite Energy Inc Inc. (Batch 1),Singapore,Pharmaceuticals,4356.5,4356.5,3764,13.6,17153,98998,98998,19762,947,31.2,1.89,28.8,0.84,30.3,56.3,66.3,81.6,true,0.71,0.84,0.69,0.73,0.9,0.84,0.76,0.53,0.85,0.63,0.93,0.66,0.48,0.54,0.46,0.58,0.92,0.77,0.49,285,0,79.4,65.7,83.3,medium,76.5,0,0.81
Green Manufacturing Corp Co. (Batch 1),Japan,Chemicals,1078.4,1078.4,761.4,29.4,2605,263888,263888,34693,2346,27.8,0.38,31.3,1.21,41.3,30.5,68.5,65.6,false,0.93,0.41,0.73,0.78,0.53,0.95,0.67,0.8,0.79,0.66,0.55,0.84,0.37,0.38,0.34,0.33,0.64,0.91,0.36,90,0,68.3,85.1,61.2,medium,71.2,0,0.81
Vertex Textiles & Apparel Corp Co. (Batch 1),France,Energy,2130.8,2130.8,1608.8,24.5,5488,382805,382805,63653,1925,39.6,2.03,17.3,1.26,39.8,39.7,70.9,79.8,true,0.61,0.92,0.75,0.66,0.79,0.75,0.58,0.43,0.68,0.8,0.7,0.75,0.47,0.48,0.45,0.53,0.94,0.73,0.47,255,0,71.9,66.4,81.3,medium,73.1,0,0.81
Summit Technology Partners  (Batch 1),Japan,Textiles & Apparel,1623.3,1623.3,1537.3,5.3,10916,64379,64379,35841,935,15.5,0.71,31.4,1.04,49.9,22.6,70,52.4,true,0.89,0.65,0.42,0.51,0.58,0.59,0.69,0.88,0.82,0.59,0.79,0.86,0.77,0.78,0.74,0.43,0.85,0.62,0.76,690,0,74.7,75.4,69.7,critical,73.4,0,0.81
Advanced Electronics Corp Ltd. (Batch 1),United Kingdom,Chemicals,279.4,279.4,198.4,29,1874,142486,142486,49960,2221,4.7,1.09,21.8,0.9,43.4,46.5,57.6,59.5,true,0.91,0.43,0.9,0.54,0.83,0.72,0.65,0.6,0.63,0.65,0.69,0.71,0.73,0.75,0.72,0.3,0.65,0.55,0.73,645,0,61.4,71,70.5,critical,67,0,0.81
Modern Food & Beverage Dynamics Inc. (Batch 1),United States,Chemicals,605.4,605.4,404.4,33.2,4061,239224,239224,37697,2194,37.2,1.31,36.2,0.93,21.1,31.4,53.8,67,true,0.86,0.41,0.79,0.84,0.81,0.91,0.64,0.66,0.74,0.74,0.87,0.72,0.71,0.74,0.7,0.57,0.89,0.51,0.72,630,0,71.2,71.3,69.8,critical,70.8,0,0.81
Elite Food & Beverage Dynamics Co. (Batch 1),South Korea,Chemicals,849.6,849.6,763.8,10.1,5925,261292,261292,54047,2564,39.4,0.56,20.9,1.04,45.7,35.7,58.5,51.3,true,0.9,0.4,0.93,0.56,0.72,0.56,0.64,0.66,0.83,0.66,0.9,0.67,0.14,0.14,0.11,0.35,0.93,0.5,0.13,0,72.2,71.8,75,69.9,low,72.2,72.2,0.81
Innovative Construction Alliance LLC (Batch 1),China,Technology,4152.7,4152.7,3480,16.2,20227,51456,51456,29993,400,57.6,2.02,16,1.25,41.7,59.4,59.1,58.2,true,0.95,0.69,0.76,0.54,0.74,0.51,0.62,0.42,0.81,0.64,0.81,0.84,0.23,0.21,0.2,0.28,0.91,0.61,0.21,0,76.9,87.3,62.5,77.3,low,76.9,76.9,0.81
Premium Energy Group Ltd. (Batch 1),France,Electronics,1310.7,1310.7,1048.6,20,5383,155774,155774,51478,710,57.7,2.2,27.1,1.44,33.3,43.5,42.1,87.7,true,0.84,0.72,0.78,0.92,0.76,0.69,0.57,0.67,0.67,0.75,0.91,0.58,0.18,0.19,0.16,0.6,0.53,0.68,0.18,0,73.4,77.3,69.5,71.9,low,73.4,73.4,0.81
Apex Textiles & Apparel Services LLC (Batch 1),Germany,Automotive,4827.6,4827.6,3895.9,19.3,37003,236233,236233,69700,2910,47.7,0.52,47.6,0.83,26.9,55.7,50.8,86.5,true,0.76,0.64,0.9,0.67,0.52,0.58,0.42,0.78,0.82,0.63,0.5,0.54,0.36,0.39,0.34,0.58,0.83,0.79,0.36,90,0,84.3,67.8,81.1,medium,78.4,0,0.81
Apex Textiles & Apparel Works Ltd. (Batch 1),United States,Automotive,1678.5,1678.5,1451.9,13.5,12327,253002,253002,55026,2865,15.5,0.29,20.8,1.37,54.9,51.7,55.5,85,true,0.91,0.58,0.69,0.41,0.55,0.74,0.56,0.8,0.73,0.95,0.51,0.85,0.45,0.48,0.43,0.34,0.5,0.73,0.45,225,0,64.7,84.6,77.4,medium,74.5,0,0.81
Innovative Energy Industries Co. (Batch 1),United States,Electronics,985.7,985.7,642.7,34.8,4356,151086,151086,25358,861,31.6,0.79,14.8,1.15,33.3,48.5,58.3,65.9,true,0.81,0.73,0.6,0.74,0.69,0.68,0.44,0.45,0.74,0.64,0.78,0.54,0.49,0.52,0.48,0.47,0.68,0.77,0.5,300,0,69.5,70.2,74.5,high,71.2,0,0.81
Prime Technology Solutions Inc. (Batch 1),Singapore,Manufacturing,2927.5,2927.5,2245.4,23.3,8358,151501,151501,35801,1290,58.9,2.1,13.4,1.01,49.5,58.7,51,80.4,true,0.75,0.73,0.87,0.51,0.43,0.82,0.67,0.52,0.9,0.82,0.76,0.74,0.37,0.43,0.35,0.42,0.68,0.92,0.38,120,0,87.7,59.1,81.4,medium,77.2,0,0.81
Green Chemicals International Inc. (Batch 1),Japan,Construction,4998.4,4998.4,3818.8,23.6,14604,129530,129530,55021,928,8.8,1.66,48,1.43,32.2,22.4,58.4,70.6,true,0.9,0.77,0.61,0.67,0.61,0.91,0.84,0.61,0.57,0.59,0.65,0.78,0.86,0.88,0.83,0.35,0.57,0.84,0.86,840,0,72.6,81.8,72.4,critical,75.3,0,0.81
Next Automotive Limited LLC (Batch 1),Germany,Automotive,3495,3495,2694.6,22.9,18659,244716,244716,55332,2439,31.9,0.84,12,1.47,41.2,53.1,55.6,62.1,true,0.83,0.82,0.62,0.74,0.78,0.65,0.83,0.83,0.88,0.62,0.72,0.81,0.85,0.88,0.84,0.26,0.51,0.92,0.86,840,0,79.6,83.5,75.7,critical,79.6,0,0.81
Green Pharmaceuticals Limited LLC (Batch 1),Germany,Manufacturing,3173.7,3173.7,2843.6,10.4,18885,116551,116551,29839,1078,45.1,1.28,43.1,1.4,33.1,20.4,78.6,83.4,true,0.89,0.82,0.64,0.68,0.57,0.79,0.54,0.84,0.73,0.74,0.85,0.6,0.62,0.65,0.6,0.59,0.77,0.68,0.62,480,0,83.5,77.3,76.6,high,79.6,0,0.81
Elite Food & Beverage Collective Inc. (Batch 1),Germany,Textiles & Apparel,3913.8,3913.8,3197.6,18.3,14007,82167,82167,41970,1074,39.7,0.84,39.4,0.84,50.1,32.9,67.1,58.3,false,0.82,0.51,0.46,0.82,0.5,0.81,0.58,0.89,0.92,0.84,0.71,0.63,0.16,0.19,0.15,0.36,0.65,0.76,0.17,0,71.5,81.9,72.1,57.1,low,71.5,71.5,0.81
Elite Manufacturing Dynamics Inc. (Batch 1),China,Technology,1014.3,1014.3,719.1,29.1,2104,73510,73510,25989,355,77.8,2.33,45.5,0.88,21.2,40.8,40.6,77,false,0.77,0.76,0.74,0.48,0.81,0.65,0.61,0.84,0.59,0.82,0.65,0.7,0.29,0.27,0.26,0.39,0.6,0.88,0.27,0,73.5,93.3,60.9,59.8,low,73.5,73.5,0.81
Titan Energy Ventures Ltd. (Batch 1),France,Automotive,2048.4,2048.4,1478.9,27.8,14388,244454,244454,61839,2145,52.1,1.1,12.6,1.07,25.3,31.8,57.6,56,true,0.9,0.9,0.73,0.89,0.62,0.71,0.58,0.62,0.95,0.93,0.89,0.66,0.24,0.26,0.23,0.52,0.56,0.72,0.24,0,69.8,75.6,65.4,66.4,low,69.8,69.8,0.81
Ultra Manufacturing Corp Co. (Batch 1),Japan,Textiles & Apparel,2113.8,2113.8,1951,7.7,6244,85028,85028,32735,620,6.3,2.47,28.5,1.12,34.6,22,60.2,53.8,true,0.67,0.54,0.53,0.73,0.44,0.56,0.89,0.77,0.87,0.74,0.79,0.73,0.55,0.57,0.52,0.3,0.77,0.84,0.55,375,0,71.9,61.6,71.9,high,68.8,0,0.81
Premium Manufacturing Technologies Co. (Batch 1),France,Construction,2847.1,2847.1,1887.6,33.7,17895,130416,130416,36056,1858,28,2.1,48.1,0.88,35.8,56.7,65.7,79.5,true,0.81,0.7,0.53,0.6,0.63,0.91,0.75,0.76,0.87,0.65,0.57,0.77,0.51,0.52,0.49,0.25,0.93,0.6,0.51,315,0,78.4,66.9,83.7,high,76.5,0,0.81
Mega Technology Systems Corp. (Batch 1),Singapore,Energy,3683.4,3683.4,2913.6,20.9,7741,429854,429854,61924,2528,68.3,2.19,14.5,0.99,44.6,54.4,65,77,false,0.93,0.57,0.44,0.85,0.73,0.61,0.85,0.41,0.73,0.71,0.62,0.53,0.35,0.41,0.34,0.33,0.53,0.88,0.37,105,0,80.5,62.2,65,medium,70.4,0,0.81
Global Textiles & Apparel Manufacturing Co. (Batch 1),Singapore,Manufacturing,3606.5,3606.5,2906.8,19.4,7426,221950,221950,50596,1614,21.8,1.3,40.6,1.22,41.1,32.8,46,87.2,false,0.61,0.57,0.77,0.63,0.9,0.76,0.4,0.86,0.67,0.93,0.65,0.81,0.36,0.42,0.35,0.44,0.72,0.75,0.38,120,0,76.5,76.6,61.3,medium,72,0,0.81
Next Technology Dynamics Corp. (Batch 1),South Korea,Chemicals,3671.7,3671.7,3264.1,11.1,26045,138417,138417,64107,2291,14,2.26,29.4,1.31,23.8,56.9,47.9,62.5,false,0.93,0.68,0.72,0.51,0.61,0.85,0.67,0.46,0.77,0.58,0.88,0.51,0.63,0.63,0.6,0.24,0.54,0.75,0.62,480,0,74.2,67.6,58.3,high,67.4,0,0.81
Premium Textiles & Apparel Ventures Corp. (Batch 1),China,Energy,3879.4,3879.4,3631.1,6.4,13245,239691,239691,105471,3391,38.5,1.21,12.4,1.39,30.8,39.5,70.5,58.5,true,0.67,0.85,0.63,0.7,0.72,0.53,0.55,0.89,0.61,0.52,0.51,0.72,0.83,0.82,0.8,0.56,0.56,0.73,0.82,780,0,81.6,69.8,69.9,critical,74.5,0,0.81
Premium Technology Works Ltd. (Batch 1),Canada,Pharmaceuticals,3283.7,3283.7,2144.3,34.7,14769,81923,81923,19963,874,30.3,2.38,22.3,1.12,48.7,53.6,57.1,68,false,0.94,0.8,0.6,0.41,0.58,0.9,0.84,0.74,0.87,0.56,0.72,0.76,0.68,0.73,0.67,0.29,0.79,0.95,0.69,585,0,79.1,69,66.8,high,72.4,0,0.81
