name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Sustainable Textiles & Apparel Limited LLC,India,Manufacturing,1632.9,1632.9,1438.6,11.9,9717,119135,119135,56761,1641,17.7,2.25,21.9,1.26,36,48.3,72.2,75.6,true,0.83,0.55,0.83,0.74,0.48,0.59,0.88,0.63,0.75,0.9,0.56,0.55,0.15,0.17,0.15,0.23,0.86,0.53,0.16,,73.6,75.3,64.2,80.5,low,73.6,73.6,0.81
Green Manufacturing Inc LLC,Germany,Technology,4933.5,4933.5,3917.2,20.6,9922,53052,53052,16891,613,52.7,2.07,22.2,1.01,27.5,22,73.6,69.7,true,0.93,0.85,0.6,0.46,0.9,0.75,0.63,0.41,0.77,0.93,0.88,0.89,0.09,0.12,0.08,0.35,0.59,0.71,0.1,,75,85.8,63,72.8,low,75,75,0.81
Future Textiles & Apparel Holdings LLC,Japan,Construction,183.2,183.2,159.8,12.8,708,155627,155627,58356,1911,14.7,1.84,27.9,1.04,41.1,32.3,51.1,69.2,false,0.73,0.4,0.81,0.8,0.88,0.58,0.7,0.68,0.88,0.51,0.66,0.85,0.56,0.57,0.53,0.42,0.84,0.81,0.55,75,0,64.4,66.5,60.4,high,63.8,0,0.81
Future Manufacturing Network,Canada,Automotive,4062.6,4062.6,3152.6,22.4,29004,209430,209430,86701,2225,46.3,0.37,43.6,1.07,51.4,58,55.5,67.7,false,0.69,0.64,0.45,0.81,0.5,0.79,0.88,0.53,0.64,0.79,0.87,0.83,0.49,0.53,0.47,0.49,0.94,0.52,0.5,,77.8,83.9,86.7,61,high,77.8,77.8,0.81
Sustainable Electronics Limited Inc.,United Kingdom,Electronics,1533.2,1533.2,1347.7,12.1,10082,146599,146599,26107,1380,67.3,1.45,46,0.88,50.5,55.4,42.4,73.5,false,0.6,0.49,0.44,0.87,0.79,0.65,0.5,0.63,0.6,0.94,0.84,0.51,0.4,0.41,0.38,0.55,0.71,0.73,0.4,,74.5,90.2,69,59.1,medium,74.5,74.5,0.81
Ultra Food & Beverage Enterprises,South Korea,Manufacturing,4113.4,4113.4,3776.1,8.2,17605,155779,155779,50759,1722,28.3,0.21,27.1,0.81,25.2,27.2,56.8,56.2,true,0.81,0.65,0.84,0.4,0.55,0.91,0.49,0.58,0.67,0.64,0.63,0.86,0.33,0.33,0.3,0.34,0.52,0.67,0.32,,73,78.5,72.6,66.1,medium,73,73,0.81
Modern Electronics Enterprises,China,Textiles & Apparel,1603,1603,1239.1,22.7,5265,59975,59975,35192,766,44,0.81,27.1,0.97,44.8,53.8,42.4,57.2,false,0.87,0.95,0.57,0.67,0.56,0.8,0.45,0.87,0.92,0.7,0.73,0.94,0.79,0.78,0.76,0.31,0.69,0.68,0.78,420,0,83.2,70.6,56.2,critical,71.3,0,0.81
Green Construction Network,Germany,Technology,3224.1,3224.1,2205.3,31.6,22986,47810,47810,21812,596,61.1,2.48,43.4,1.03,36.3,20.1,57.3,74,true,0.71,0.55,0.47,0.65,0.64,0.95,0.88,0.55,0.7,0.71,0.64,0.78,0.84,0.87,0.82,0.37,0.69,0.56,0.84,510,0,88.3,71.8,70.2,critical,77.9,0,0.81
Ultra Electronics Solutions Ltd.,Canada,Manufacturing,928.7,928.7,720.7,22.4,5929,182088,182088,32243,1643,24.8,0.37,39.7,1.4,25.6,54,69,59.3,true,0.79,0.62,0.5,0.9,0.59,0.84,0.51,0.57,0.87,0.69,0.51,0.9,0.76,0.8,0.74,0.58,0.53,0.61,0.77,405,0,67.4,85.2,69.6,critical,73.4,0,0.81
Future Pharmaceuticals Holdings Inc.,Japan,Chemicals,3086.2,3086.2,2635.6,14.6,13728,217022,217022,34140,2001,14.4,1.4,27.3,1.07,46.8,31.5,53.8,59.4,true,0.87,0.57,0.58,0.52,0.78,0.87,0.59,0.89,0.59,0.75,0.74,0.52,0.26,0.27,0.23,0.23,0.69,0.92,0.25,,74.1,74.3,73.5,74.5,low,74.1,74.1,0.81
Pro Chemicals Holdings LLC,United Kingdom,Construction,778.9,778.9,699.5,10.2,4228,91400,91400,29669,1504,-5,0.94,23.1,1.04,51.9,33.9,63.8,71,true,0.87,0.84,0.84,0.77,0.87,0.69,0.48,0.58,0.76,0.51,0.83,0.62,0.25,0.26,0.23,0.41,0.75,0.55,0.25,,67.6,58.5,74.4,72.8,low,67.6,67.6,0.81
Eco Energy Solutions Ltd.,United Kingdom,Pharmaceuticals,2065.1,2065.1,1761.5,14.7,9405,121427,121427,31071,810,64.2,2.41,38.3,1.25,49.9,23.1,66.7,61.4,true,0.8,0.41,0.71,0.4,0.52,0.72,0.46,0.54,0.81,0.81,0.68,0.84,0.05,0.05,0.05,0.25,0.88,0.86,0.05,,78.6,89.3,65.6,77.4,low,78.6,78.6,0.81
Prime Automotive Network Inc.,United States,Technology,1011.8,1011.8,666.8,34.1,2785,57486,57486,19288,745,54.9,0.88,18.9,1.09,49.4,41.2,66.5,65.3,false,0.68,0.91,0.88,0.63,0.46,0.76,0.79,0.44,0.92,0.82,0.57,0.67,0.52,0.55,0.51,0.54,0.66,0.9,0.53,45,30,86.5,74.3,60.5,high,75,30,0.81
Superior Construction Holdings LLC,United Kingdom,Energy,237.1,237.1,220.5,7,826,336798,336798,116203,3119,45.7,2.2,11.5,1.03,28.9,30.3,50.1,59.4,false,0.79,0.81,0.56,0.7,0.85,0.69,0.66,0.59,0.67,0.88,0.74,0.9,0.44,0.46,0.43,0.22,0.64,0.59,0.44,,63.5,73.7,60.2,53.2,medium,63.5,63.5,0.81
Innovative Manufacturing Solutions Co.,Germany,Construction,2996.5,2996.5,2316.3,22.7,17196,88938,88938,38289,1879,37.7,1.9,41.1,1.26,42.9,27.2,46.8,52.4,true,0.94,0.57,0.92,0.52,0.8,0.54,0.62,0.76,0.83,0.77,0.83,0.94,0.32,0.35,0.31,0.22,0.74,0.81,0.33,,74.7,81.3,70.3,70.3,medium,74.7,74.7,0.81
Pro Technology Enterprises Co.,United States,Manufacturing,167.1,167.1,125.3,25,1136,169091,169091,28474,1489,15.9,2.29,28.3,1.14,40.3,46.3,45,87.9,false,0.76,0.74,0.82,0.8,0.7,0.8,0.53,0.71,0.75,0.63,0.85,0.52,0.35,0.38,0.33,0.34,0.87,0.95,0.35,,66.3,64.8,65,69.6,medium,66.3,66.3,0.81
Green Textiles & Apparel Solutions LLC,Japan,Construction,3850.3,3850.3,3388.3,12,25936,160150,160150,32523,1832,8.4,1.79,33.7,1.24,34.7,26.5,77.9,80,true,0.69,0.4,0.86,0.91,0.72,0.51,0.75,0.67,0.78,0.67,0.91,0.93,0.8,0.82,0.77,0.48,0.6,0.8,0.8,450,0,72.5,68.5,76.9,critical,72.6,0,0.81
Green Electronics International Inc.,India,Textiles & Apparel,635.4,635.4,505.8,20.4,3762,117811,117811,32142,892,30.3,2.08,40.5,1.33,40.6,46.3,59.9,62.3,true,0.89,0.43,0.75,0.72,0.69,0.93,0.52,0.89,0.66,0.73,0.95,0.52,0.81,0.83,0.81,0.24,0.7,0.71,0.82,480,0,69.1,72.9,75.3,critical,72.1,0,0.81
Future Food & Beverage Group,India,Chemicals,3712.3,3712.3,3166.6,14.7,7553,164559,164559,65102,2244,37.3,2.02,37.9,0.88,26,35.4,43.3,89.4,false,0.82,0.56,0.88,0.81,0.61,0.62,0.54,0.61,0.53,0.72,0.7,0.55,0.91,0.92,0.91,0.47,0.79,0.57,0.91,615,0,81.2,55.6,59.9,critical,67.1,0,0.81
Modern Automotive Network Co.,China,Food & Beverage,629.6,629.6,579.9,7.9,1900,123047,123047,38190,1585,19.7,2.02,37.9,1.45,41.6,60,73.2,66.3,false,0.91,0.7,0.83,0.63,0.78,0.79,0.89,0.67,0.64,0.85,0.8,0.95,0.21,0.2,0.18,0.5,0.61,0.76,0.2,,68.9,65.9,79.7,62.1,low,68.9,68.9,0.81
Eco Construction Technologies Inc.,South Korea,Automotive,3448.2,3448.2,2903.4,15.8,17111,290126,290126,61419,1479,49.7,2.01,35.2,1.03,49.1,35.9,48,78.9,true,0.65,0.57,0.89,0.72,0.45,0.52,0.53,0.87,0.9,0.68,0.89,0.6,0.26,0.26,0.23,0.55,0.84,0.89,0.25,,74.5,84.9,57.5,77.8,low,74.5,74.5,0.81
Pro Manufacturing Group Ltd.,China,Energy,596,596,516.1,13.4,3250,301311,301311,69624,3175,75.7,1.61,21.6,1.26,43.1,39.3,41.2,78.1,false,0.88,0.5,0.81,0.86,0.86,0.55,0.74,0.86,0.62,0.63,0.61,0.51,0.27,0.25,0.24,0.41,0.8,0.79,0.25,,73.1,82.7,72.1,61.4,low,73.1,73.1,0.81
Global Technology Enterprises LLC,China,Textiles & Apparel,3814.3,3814.3,3120.1,18.2,22706,90668,90668,24043,666,14.6,0.66,13.2,1.37,49.3,42.7,63.4,59.8,true,0.66,0.82,0.82,0.85,0.53,0.54,0.75,0.59,0.69,0.75,0.91,0.89,0.45,0.43,0.42,0.53,0.83,0.94,0.43,,76.3,74.4,78.1,77.1,medium,76.3,76.3,0.81
Sustainable Manufacturing Technologies Co.,United States,Chemicals,153.6,153.6,129.2,15.9,742,256275,256275,50755,2112,25.4,2.38,43.4,1.41,41.7,52.7,48.1,65.5,false,0.71,0.79,0.72,0.57,0.6,0.95,0.72,0.9,0.85,0.9,0.89,0.87,0.44,0.47,0.42,0.47,0.74,0.68,0.44,,67.6,67.6,77.2,58.1,medium,67.6,67.6,0.81
Innovative Pharmaceuticals Partners,France,Chemicals,4851.3,4851.3,3303.7,31.9,35756,207037,207037,51750,1822,46.7,1.35,26,1.43,50.2,53.4,46.2,68.2,true,0.77,0.48,0.52,0.61,0.68,0.61,0.88,0.83,0.56,0.58,0.53,0.9,0.52,0.53,0.5,0.45,0.53,0.91,0.52,30,49.9,84,80.4,74.1,high,79.9,49.9,0.81
Superior Technology Partners Co.,China,Textiles & Apparel,3344.2,3344.2,2839.2,15.1,20827,73801,73801,43468,931,9.7,2.17,20.4,1.04,33.4,25.6,66.2,68.6,false,0.78,0.4,0.81,0.64,0.68,0.83,0.64,0.49,0.55,0.58,0.93,0.61,0.55,0.53,0.52,0.59,0.82,0.9,0.53,45,21.1,72.9,62.1,60.8,high,66.1,21.1,0.81
Pro Pharmaceuticals Solutions Inc.,Germany,Chemicals,1513.7,1513.7,1383.5,8.6,7490,222584,222584,38415,1404,30.5,1.58,43.8,1.38,40.6,56.4,76.2,50,true,0.76,0.54,0.8,0.83,0.45,0.52,0.68,0.6,0.84,0.88,0.94,0.91,0.68,0.71,0.66,0.58,0.91,0.57,0.68,270,0,69.2,71.4,73.8,high,71.2,0,0.81
Global Food & Beverage Inc Inc.,Singapore,Chemicals,3698.9,3698.9,3362.3,9.1,14398,235628,235628,33225,2643,30,1.73,24.7,1.23,46.5,37.8,41.8,76.5,true,0.75,0.5,0.46,0.63,0.62,0.5,0.54,0.81,0.64,0.74,0.64,0.88,0.68,0.74,0.66,0.56,0.94,0.54,0.69,285,0,79,64.1,72.7,high,72.6,0,0.81
Superior Electronics Systems Ltd.,China,Chemicals,2656.6,2656.6,2300.6,13.4,16727,226071,226071,34458,1883,14.8,1.8,48.3,1.01,41.3,41.6,56.4,51.5,true,0.64,0.81,0.63,0.58,0.63,0.75,0.89,0.87,0.93,0.91,0.89,0.72,0.95,0.95,0.93,0.45,0.89,0.86,0.94,660,0,74.4,72.1,74.3,critical,73.7,0,0.81
