name,country,industry,revenue,revenue_musd,cost_musd,margin_pct,employee_count,co2_emissions,total_emissions,water_usage,waste_generated,renewable_energy_percent,injury_rate,training_hours,living_wage_ratio,gender_diversity_percent,board_diversity,board_independence,transparency_score,anti_corruption_policy,delivery_efficiency,energy_efficiency,waste_management_score,pollution_control,community_engagement,worker_safety,diversity_inclusion_score,supplier_diversity,traceability,quality_control_score,wage_fairness,human_rights_index,geopolitical_risk,climate_risk,labor_dispute_risk,corruption_risk,ethics_program,compliance_systems,risk_factor,risk_penalty,ethical_score,environmental_score,social_score,governance_score,risk_level,composite_score,finalScore,completeness_ratio
Prime Automotive Holdings Inc.,United States,Textiles & Apparel,4842.2,4842.2,3844.7,20.6,15403,112835,112835,21247,591,8.1,2.2,20.2,1.03,42,48,40.8,72.6,true,0.85,0.42,0.42,0.62,0.5,0.7,0.57,0.59,0.76,0.95,0.53,0.55,0.31,0.42,0.16,0.45,0.5,0.67,0.3,,67.1,72.4,57.5,69.5,medium,67.1,67.1,0.81
Superior Electronics Limited Ltd.,Singapore,Chemicals,4968,4968,3711.1,25.3,29636,261499,261499,47791,1663,43.4,2.04,16.1,1.13,51.2,22.5,62.6,63.4,true,0.62,0.79,0.61,0.8,0.69,0.6,0.84,0.59,0.6,0.74,0.7,0.53,0.33,0.48,0.14,0.39,0.9,0.9,0.31,,75.9,83,65.5,76.7,medium,75.9,75.9,0.81
Superior Pharmaceuticals Services,South Korea,Pharmaceuticals,1049.3,1049.3,921.3,12.2,8124,81840,81840,21605,513,66.3,1.66,41.5,1.36,21.1,58.6,56.1,66.7,false,0.65,0.42,0.48,0.71,0.74,0.68,0.66,0.76,0.59,0.61,0.84,0.81,0.48,0.41,0.1,0.41,0.67,0.93,0.33,,77.1,89.9,73.3,63.8,medium,77.1,77.1,0.81
Prime Manufacturing Corp Co.,United Kingdom,Construction,2366.1,2366.1,1819.5,23.1,6999,98901,98901,41217,1668,1.5,2.48,15.6,0.89,27.5,32.8,78.3,84.6,false,0.8,0.54,0.62,0.71,0.88,0.85,0.57,0.62,0.54,0.79,0.86,0.91,0.32,0.25,0.26,0.54,0.82,0.88,0.28,,66.4,70.5,59.5,67.9,low,66.4,66.4,0.81
Premium Chemicals Group Corp.,Japan,Energy,4501.7,4501.7,3461.8,23.1,11729,418497,418497,89171,2547,67.8,1.04,12.5,1.01,21.2,42.2,76.7,73.3,false,0.93,0.76,0.76,0.6,0.43,0.94,0.66,0.64,0.88,0.92,0.8,0.84,0.3,0.3,0.19,0.42,0.89,0.8,0.26,,76.1,90.3,65.9,67.3,low,76.1,76.1,0.81
Future Automotive Group Ltd.,India,Energy,4266,4266,3156.8,26,24294,409509,409509,83763,3559,50.2,2.34,19.5,0.97,43.3,41.2,71.1,51.8,true,0.82,0.55,0.76,0.7,0.55,0.56,0.49,0.54,0.85,0.73,0.92,0.92,0.41,0.49,0.34,0.56,0.59,0.83,0.41,,71.3,85.1,53.8,70.5,medium,71.3,71.3,0.81
Pro Electronics International Inc.,Japan,Automotive,3375,3375,2237.6,33.7,21821,224032,224032,79004,2610,27.1,0.7,48.5,0.87,32.9,31.8,40.3,68.8,true,0.72,0.63,0.66,0.83,0.61,0.74,0.59,0.7,0.66,0.54,0.6,0.78,0.4,0.36,0.11,0.42,0.92,0.68,0.29,,75.3,78.1,74.1,72.8,low,75.3,75.3,0.81
Prime Technology Manufacturing Corp.,Germany,Food & Beverage,2081.7,2081.7,1890.2,9.2,11929,111212,111212,45515,1718,21.8,1.29,24.7,0.82,34.3,56.6,65.9,53.2,false,0.93,0.78,0.45,0.51,0.64,0.94,0.45,0.74,0.79,0.53,0.71,0.91,0.11,0.38,0.22,0.53,0.78,0.69,0.24,,67.4,76.5,64,58.4,low,67.4,67.4,0.81
Next Chemicals Limited Inc.,Japan,Automotive,4331.8,4331.8,3248.9,25,20880,176725,176725,71670,1426,14.7,1.2,25,1.49,37.1,21.4,49.1,51.7,true,0.68,0.45,0.7,0.48,0.59,0.6,0.42,0.85,0.85,0.87,0.82,0.57,0.27,0.49,0.17,0.33,0.88,0.88,0.31,,73,74.4,72.5,71.6,medium,73,73,0.81
Modern Automotive Partners Inc.,Germany,Energy,1754.9,1754.9,1332,24.1,12893,276387,276387,61119,3074,46.3,2.07,28.9,1.42,50.1,26.7,62.7,89.7,false,0.66,0.7,0.43,0.64,0.69,0.72,0.88,0.44,0.82,0.53,0.61,0.85,0.29,0.35,0.16,0.23,0.51,0.91,0.27,,71.8,73.9,76,64.8,low,71.8,71.8,0.81
Future Technology Technologies Corp.,India,Chemicals,3857.9,3857.9,3379.5,12.4,16916,182212,182212,36635,2546,43.3,1.64,15.5,1.43,54.4,43.4,59.6,71.1,true,0.95,0.69,0.53,0.56,0.8,0.79,0.58,0.78,0.58,0.67,0.88,0.77,0.35,0.46,0.48,0.41,0.79,0.87,0.43,,79.7,83,76,79,medium,79.7,79.7,0.81
Future Construction International Co.,Singapore,Technology,1504.7,1504.7,1247.4,17.1,3451,71435,71435,25195,690,43,0.38,23.1,1.2,38.5,40.6,70.8,54.8,true,0.78,0.47,0.83,0.66,0.63,0.52,0.78,0.75,0.89,0.53,0.93,0.78,0.31,0.42,0.22,0.24,0.75,0.94,0.32,,80.5,82.9,79.5,78.4,medium,80.5,80.5,0.81
Next Pharmaceuticals Technologies Ltd.,France,Food & Beverage,954.4,954.4,739.7,22.5,4666,123752,123752,68916,1958,32.3,2.17,22.1,0.86,39.1,21,67.3,86.7,true,0.84,0.49,0.93,0.44,0.69,0.86,0.68,0.88,0.64,0.57,0.52,0.95,0.33,0.2,0.31,0.22,0.82,0.6,0.28,,69.9,69.7,60.9,79,low,69.9,69.9,0.81
Elite Technology Manufacturing Co.,Singapore,Food & Beverage,4579.7,4579.7,4057.6,11.4,13191,145174,145174,36853,1955,20.8,1.32,35.5,0.86,48.9,44.4,40.6,72.7,true,0.81,0.52,0.71,0.4,0.67,0.71,0.82,0.57,0.84,0.53,0.56,0.71,0.32,0.4,0.14,0.58,0.81,0.61,0.29,,73.4,76.2,71.4,71.4,low,73.4,73.4,0.81
Modern Automotive Limited Corp.,Germany,Chemicals,3057.1,3057.1,2534.3,17.1,16698,268570,268570,47093,2116,28.6,1.19,29,1.11,23.1,49.4,62.5,58.3,true,0.8,0.44,0.43,0.83,0.69,0.91,0.88,0.42,0.63,0.55,0.55,0.91,0.33,0.31,0.13,0.22,0.69,0.9,0.26,,77.9,78.6,76.8,78,low,77.9,77.9,0.81
Future Pharmaceuticals Network,United States,Chemicals,3017.8,3017.8,2827.7,6.3,23462,152729,152729,43125,1503,21,0.53,17.7,0.98,25.3,53.8,68.6,78.4,true,0.76,0.59,0.91,0.43,0.84,0.81,0.48,0.59,0.59,0.76,0.86,0.54,0.21,0.29,0.2,0.38,0.87,0.95,0.23,,78.5,76.3,73.6,86.5,low,78.5,78.5,0.81
Innovative Chemicals Inc Co.,China,Manufacturing,2479,2479,1673.3,32.5,7968,223387,223387,46453,1717,13.8,1.48,29.2,0.83,32.6,37,66.1,54.7,true,0.94,0.71,0.61,0.7,0.74,0.52,0.77,0.59,0.66,0.56,0.76,0.77,0.49,0.35,0.32,0.47,0.78,0.56,0.39,,69.4,74.1,63,69.5,medium,69.4,69.4,0.81
Modern Manufacturing Services Co.,Singapore,Technology,1579.2,1579.2,1421.3,10,9481,43320,43320,29210,617,88.9,0.33,18,1.28,46.1,58.2,66.8,78.7,true,0.87,0.92,0.79,0.74,0.74,0.69,0.42,0.73,0.87,0.93,0.74,0.56,0.17,0.29,0.27,0.41,0.82,0.84,0.24,,88.1,96.7,80.6,84.2,low,88.1,88.1,0.81
Advanced Energy International Inc.,India,Food & Beverage,4376.2,4376.2,3907.9,10.7,32735,108869,108869,72438,1203,61,1.75,41.7,1,45.5,50.6,54.6,61.1,true,0.94,0.58,0.53,0.47,0.65,0.92,0.52,0.71,0.65,0.91,0.92,0.74,0.46,0.59,0.29,0.45,0.68,0.73,0.45,,77.8,88.3,69,72.7,medium,77.8,77.8,0.81
Next Construction Limited Co.,Canada,Technology,4735.4,4735.4,3101.7,34.5,36019,35306,35306,23087,396,83.9,0.88,33.4,1.16,39.8,51,49.3,63.7,true,0.9,0.58,0.85,0.82,0.7,0.52,0.55,0.62,0.79,0.73,0.51,0.9,0.32,0.29,0.23,0.37,0.87,0.75,0.28,,83.1,95.2,73.6,76.6,low,83.1,83.1,0.81
Green Construction Technologies LLC,United States,Food & Beverage,4075.8,4075.8,2694.1,33.9,31292,139536,139536,36016,1472,32.7,0.67,39.7,1.46,48.8,52.6,48,72.8,true,0.89,0.87,0.61,0.71,0.4,0.93,0.74,0.41,0.65,0.81,0.53,0.85,0.39,0.44,0.32,0.44,0.87,0.68,0.38,,81.7,79.8,88.8,77.1,medium,81.7,81.7,0.81
Modern Electronics Technologies,Japan,Technology,4921.7,4921.7,3947.2,19.8,34503,72593,72593,15484,558,89.6,0.32,30.2,1.42,22.7,43.9,63.9,78.1,true,0.76,0.83,0.63,0.9,0.5,0.83,0.83,0.45,0.62,0.79,0.9,0.65,0.34,0.26,0.3,0.37,0.55,0.87,0.3,,88.4,96.9,87,78.3,medium,88.4,88.4,0.81
Ultra Automotive Network LLC,France,Energy,2253.9,2253.9,2001.5,11.2,9941,420042,420042,76515,3449,48.6,2.39,12.7,1.14,42.7,22,55.2,61,true,0.61,0.53,0.86,0.89,0.9,0.57,0.76,0.48,0.56,0.75,0.57,0.56,0.35,0.29,0.23,0.58,0.87,0.55,0.29,,69.6,74.6,65.2,67.3,low,69.6,69.6,0.81
Prime Food & Beverage Holdings Corp.,Canada,Energy,2449.1,2449.1,1614,34.1,6440,379081,379081,82264,2481,77.4,1.83,35.7,0.86,31.1,47.4,44.9,77.9,true,0.85,0.88,0.44,0.42,0.55,0.86,0.57,0.64,0.92,0.76,0.95,0.83,0.1,0.49,0.27,0.21,0.53,0.93,0.29,,74.8,83.2,60.4,78.1,low,74.8,74.8,0.81
Modern Electronics Technologies Co.,Singapore,Automotive,3573,3573,2433.2,31.9,14878,154015,154015,53000,1508,52.4,1.82,35.9,1.38,53.9,33.7,68.1,82,true,0.94,0.8,0.44,0.91,0.59,0.73,0.78,0.8,0.81,0.69,0.53,0.63,0.11,0.44,0.11,0.21,0.81,0.89,0.22,,82.4,85.7,76.2,84.2,low,82.4,82.4,0.81
Green Technology Network Corp.,South Korea,Electronics,3586.1,3586.1,2384.8,33.5,14387,109213,109213,44825,1183,56.3,2.32,41.6,1.16,31.7,51.9,62.4,70.6,true,0.89,0.84,0.55,0.53,0.87,0.58,0.56,0.51,0.66,0.88,0.71,0.89,0.34,0.47,0.13,0.35,0.67,0.72,0.31,,77.8,86.9,66.4,77.1,medium,77.8,77.8,0.81
Premium Food & Beverage Services Inc.,United Kingdom,Electronics,1722.2,1722.2,1562,9.3,6404,96677,96677,32421,873,57.2,1.88,49.2,1.39,40.7,43.2,69.2,79.8,true,0.67,0.45,0.92,0.84,0.48,0.7,0.77,0.77,0.68,0.69,0.85,0.68,0.24,0.24,0.26,0.21,0.56,0.93,0.25,,81.7,87.2,74.2,82.1,low,81.7,81.7,0.81
Sustainable Pharmaceuticals Partners Ltd.,France,Electronics,1913.5,1913.5,1601.6,16.3,8843,120737,120737,44692,1105,67.1,0.38,34.4,0.81,21.2,50.8,68.1,58.6,true,0.71,0.95,0.5,0.95,0.68,0.83,0.88,0.66,0.57,0.63,0.63,0.57,0.21,0.27,0.17,0.48,0.89,0.93,0.22,,83.5,90.1,78.3,80,low,83.5,83.5,0.81
Global Manufacturing Systems Corp.,Singapore,Chemicals,2888.1,2888.1,2613.7,9.5,10201,214061,214061,56431,1398,30.4,0.65,36.7,1.02,32.3,49,48.8,65.7,true,0.74,0.67,0.83,0.82,0.82,0.81,0.9,0.45,0.87,0.94,0.53,0.61,0.22,0.5,0.26,0.46,0.65,0.9,0.33,,79.3,79.1,84,74.7,medium,79.3,79.3,0.81
Elite Textiles & Apparel Network Ltd.,India,Textiles & Apparel,4234.2,4234.2,3154.5,25.5,14794,108553,108553,43934,1011,14.2,1.33,49.2,0.81,20.3,55.7,59.8,70,true,0.95,0.65,0.57,0.57,0.61,0.8,0.41,0.66,0.72,0.51,0.52,0.6,0.44,0.46,0.53,0.54,0.54,0.68,0.48,,70.4,74.3,63.1,72.7,medium,70.4,70.4,0.81
Global Food & Beverage Network Corp.,Singapore,Automotive,2972.4,2972.4,2743.5,7.7,21587,205926,205926,77798,1669,42.8,0.91,24.6,1.49,38.9,30.2,75.3,52.3,true,0.65,0.6,0.47,0.77,0.76,0.72,0.76,0.47,0.55,0.79,0.79,0.53,0.12,0.37,0.26,0.42,0.75,0.91,0.25,,81,82.8,85.1,74.6,low,81,81,0.81
Prime Electronics Inc Inc.,United Kingdom,Chemicals,2140.7,2140.7,1847.4,13.7,9859,174952,174952,36273,2415,45.1,0.21,14,0.9,30.6,53.6,44.7,63.5,true,0.69,0.66,0.67,0.64,0.54,0.54,0.58,0.68,0.64,0.67,0.78,0.53,0.13,0.28,0.14,0.21,0.52,0.71,0.18,,75.5,83.5,68.2,72,low,75.5,75.5,0.81
Innovative Electronics Group LLC,Japan,Textiles & Apparel,4853.6,4853.6,3926.6,19.1,21755,103720,103720,42006,1052,26.7,0.51,38.9,1.15,49.6,20.9,56.1,64,true,0.74,0.68,0.83,0.46,0.7,0.61,0.49,0.4,0.83,0.68,0.69,0.75,0.43,0.39,0.33,0.24,0.78,0.67,0.38,,76.8,78,80.1,71.9,medium,76.8,76.8,0.81
Modern Textiles & Apparel Manufacturing Inc.,Singapore,Automotive,3487.1,3487.1,3009.4,13.7,19308,160104,160104,55917,1594,15.2,1.99,49.1,1.32,23.9,27,42,58.2,true,0.94,0.88,0.95,0.4,0.41,0.65,0.66,0.69,0.5,0.62,0.61,0.72,0.17,0.54,0.17,0.43,0.51,0.5,0.29,,67.8,74.6,65.7,60.8,low,67.8,67.8,0.81
Future Chemicals Manufacturing,India,Chemicals,3924.6,3924.6,3665.6,6.6,25396,235080,235080,54798,2676,25.4,1.93,14.3,1.31,54.6,25.6,57.9,51.3,true,0.64,0.57,0.9,0.7,0.42,0.6,0.74,0.64,0.58,0.61,0.67,0.56,0.27,0.44,0.54,0.39,0.54,0.87,0.42,,70.6,77.6,64.4,67.6,medium,70.6,70.6,0.81
Ultra Textiles & Apparel Inc Inc.,United Kingdom,Automotive,4627,4627,3895.9,15.8,10485,177266,177266,78660,2306,35.2,0.43,10.4,1.29,45.5,26,65.1,70.5,true,0.8,0.73,0.87,0.9,0.48,0.56,0.57,0.78,0.6,0.6,0.5,0.6,0.2,0.3,0.24,0.49,0.74,0.84,0.25,,77.1,80.6,74.6,75.1,low,77.1,77.1,0.81
Elite Energy Network Ltd.,United Kingdom,Chemicals,1248.7,1248.7,981.5,21.4,7607,206593,206593,34080,1630,26.3,1.52,48.3,1.19,48,56.3,78.9,72.2,true,0.78,0.69,0.75,0.5,0.61,0.92,0.59,0.78,0.52,0.9,0.55,0.58,0.39,0.17,0.34,0.39,0.93,0.75,0.3,,75.7,67.9,77.3,84.6,medium,75.7,75.7,0.81
Future Pharmaceuticals Partners Co.,South Korea,Electronics,3123.7,3123.7,2417.7,22.6,13988,110117,110117,38507,720,26.4,2.25,48.9,1.36,33.4,38.1,54,59.3,false,0.9,0.9,0.83,0.63,0.41,0.92,0.85,0.55,0.75,0.66,0.71,0.81,0.21,0.29,0.34,0.46,0.76,0.63,0.28,,70,77.9,74.7,54.9,low,70,70,0.81
Eco Pharmaceuticals Systems,France,Chemicals,1458.3,1458.3,1093.7,25,5019,147914,147914,45936,1816,19.7,1.51,27.2,1.03,22.5,46.4,61.8,83.1,false,0.83,0.88,0.5,0.44,0.9,0.63,0.73,0.53,0.88,0.65,0.55,0.71,0.11,0.18,0.27,0.28,0.95,0.85,0.19,,68.2,65.9,68.2,71.2,low,68.2,68.2,0.81
Green Textiles & Apparel Enterprises LLC,Japan,Electronics,3859.8,3859.8,2929.6,24.1,27170,144120,144120,52181,1040,68.6,1.11,26.2,1.03,54.5,36.4,46.9,86.3,false,0.61,0.44,0.6,0.58,0.45,0.89,0.64,0.79,0.55,0.61,0.57,0.89,0.23,0.37,0.23,0.26,0.73,0.57,0.28,,76.3,90.6,72.6,61,low,76.3,76.3,0.81
Pro Energy Systems Ltd.,United States,Technology,2052.1,2052.1,1422.1,30.7,8654,64705,64705,14001,639,62.7,0.64,42.8,1.14,46.8,37.8,68.3,60.6,true,0.92,0.67,0.6,0.93,0.86,0.59,0.68,0.84,0.51,0.66,0.95,0.9,0.32,0.39,0.12,0.57,0.85,0.51,0.28,,81.9,88.8,83.9,70.8,low,81.9,81.9,0.81
Prime Manufacturing Systems Inc.,Japan,Textiles & Apparel,3808.7,3808.7,3321.2,12.8,23285,98006,98006,23436,932,13.6,0.81,17.3,0.9,37.4,52.2,68.1,67.5,true,0.83,0.75,0.76,0.58,0.85,0.69,0.82,0.54,0.77,0.75,0.58,0.9,0.32,0.46,0.18,0.48,0.56,0.53,0.32,,73.4,74.1,74.4,71.5,medium,73.4,73.4,0.81
Premium Automotive Partners Ltd.,United Kingdom,Pharmaceuticals,4847,4847,3392.9,30,11587,84843,84843,30541,679,36.2,1.83,30.3,0.93,53.3,35.7,76.6,87.5,true,0.73,0.56,0.92,0.5,0.69,0.6,0.45,0.86,0.67,0.71,0.85,0.71,0.27,0.24,0.34,0.42,0.53,0.53,0.28,,73.1,80.9,60.5,75.4,low,73.1,73.1,0.81
Eco Electronics Group Corp.,Germany,Manufacturing,3192.1,3192.1,2359,26.1,12009,183150,183150,38219,1799,35,1.8,31.9,1.48,29.4,60,60.3,87.2,true,0.82,0.65,0.41,0.72,0.67,0.58,0.69,0.69,0.68,0.58,0.89,0.85,0.22,0.32,0.19,0.49,0.75,0.74,0.24,,78.3,80.5,71.5,82.3,low,78.3,78.3,0.81
Pro Automotive Network Corp.,United Kingdom,Automotive,3326.9,3326.9,3127.3,6,7666,266401,266401,83904,1986,40.4,2.33,43,1.07,24.6,33.1,56.8,84,false,0.87,0.82,0.66,0.95,0.67,0.83,0.72,0.65,0.85,0.53,0.9,0.8,0.17,0.2,0.33,0.34,0.51,0.83,0.23,,71.3,82.1,67,61.2,low,71.3,71.3,0.81
Innovative Energy Holdings Co.,France,Automotive,3760.7,3760.7,2861.9,23.9,12367,193989,193989,86493,2940,21.5,0.86,25.6,1.39,31,47.8,60.9,54.6,true,0.91,0.95,0.62,0.46,0.83,0.82,0.83,0.79,0.66,0.68,0.62,0.8,0.21,0.42,0.11,0.3,0.88,0.83,0.25,,79.7,76.5,86.2,77.6,low,79.7,79.7,0.81
Innovative Manufacturing International LLC,China,Textiles & Apparel,4951.7,4951.7,3476.1,29.8,35318,81739,81739,41270,823,40,2.21,25.2,1.33,25.7,20.3,73,69.2,true,0.62,0.66,0.5,0.68,0.57,0.5,0.62,0.67,0.61,0.82,0.68,0.74,0.55,0.38,0.29,0.38,0.54,0.66,0.41,,72.2,82,60.8,70.5,medium,72.2,72.2,0.81
Prime Chemicals Systems Inc.,Canada,Construction,1630.1,1630.1,1266.6,22.3,8232,158124,158124,51986,1796,41.5,1.21,48.4,1.3,46.5,46,45.7,82.2,true,0.73,0.91,0.45,0.51,0.74,0.82,0.48,0.78,0.53,0.79,0.78,0.52,0.12,0.22,0.23,0.44,0.94,0.86,0.19,,81.9,82.5,81.2,81.9,low,81.9,81.9,0.81
Innovative Manufacturing Inc LLC,China,Construction,4265.6,4265.6,3536.2,17.1,26612,79816,79816,30950,1029,2,1.05,28.1,1.4,40.6,27.4,79.7,59.6,true,0.9,0.45,0.43,0.44,0.4,0.83,0.47,0.41,0.63,0.83,0.59,0.63,0.56,0.43,0.42,0.28,0.71,0.69,0.47,,72.9,70.6,74.7,74.2,medium,72.9,72.9,0.81
Ultra Chemicals Manufacturing Co.,India,Textiles & Apparel,1340.4,1340.4,1151.4,14.1,5448,112183,112183,39428,592,53.8,2,45.2,1.35,30.2,31.1,71.8,85.2,true,0.61,0.56,0.69,0.82,0.77,0.82,0.55,0.41,0.95,0.77,0.94,0.65,0.4,0.55,0.37,0.58,0.71,0.79,0.44,,79.8,86.1,72.7,78.4,medium,79.8,79.8,0.81
Modern Automotive Inc Inc.,Japan,Chemicals,2128.9,2128.9,1952.2,8.3,14204,155999,155999,60785,1996,13.6,2.21,40.4,1.39,47.9,37.9,76.2,86.2,true,0.66,0.94,0.56,0.69,0.89,0.56,0.68,0.65,0.89,0.93,0.61,0.57,0.36,0.22,0.26,0.59,0.56,0.83,0.28,,75.7,74.1,75,78.6,low,75.7,75.7,0.81
Prime Textiles & Apparel Manufacturing Co.,Canada,Technology,1819.6,1819.6,1528.5,16,8709,60759,60759,14385,472,40.4,1.38,14.1,1.33,52,33.2,72.6,60.5,true,0.72,0.88,0.47,0.49,0.69,0.68,0.86,0.82,0.68,0.53,0.9,0.6,0.3,0.29,0.25,0.31,0.61,0.51,0.28,,76.8,82.1,76.9,69.7,low,76.8,76.8,0.81
Advanced Energy Inc LLC,United Kingdom,Electronics,4374.8,4374.8,4046.7,7.5,32384,126566,126566,33612,1051,52.9,2.04,46.6,1.4,48.6,27.7,41.4,57.9,true,0.94,0.51,0.57,0.67,0.74,0.5,0.78,0.46,0.53,0.85,0.58,0.71,0.29,0.43,0.18,0.57,0.7,0.61,0.3,,76,85.9,74.9,63.8,medium,76,76,0.81
Modern Construction Technologies LLC,Japan,Energy,4577.2,4577.2,4101.2,10.4,16505,372701,372701,77633,3190,31.8,0.25,26,1.05,39.7,23.6,55.4,64.3,true,0.63,0.65,0.68,0.82,0.71,0.8,0.45,0.55,0.77,0.59,0.75,0.83,0.24,0.21,0.24,0.23,0.95,0.82,0.23,,78.7,79.5,79.1,77.2,low,78.7,78.7,0.81
Advanced Electronics Partners Co.,Singapore,Manufacturing,4270.6,4270.6,2929.6,31.4,17556,210995,210995,36198,1436,58.7,1.46,26.4,1.12,22.5,26.9,51.1,82.3,true,0.86,0.94,0.46,0.88,0.86,0.9,0.49,0.47,0.89,0.55,0.72,0.81,0.23,0.43,0.21,0.4,0.83,0.87,0.29,,79.7,87.6,70.2,78.8,low,79.7,79.7,0.81
Sustainable Textiles & Apparel Industries,South Korea,Technology,1961.1,1961.1,1515.9,22.7,5628,68485,68485,17355,708,40.4,0.33,40,1.06,53.8,54.3,49,71,true,0.72,0.7,0.57,0.46,0.72,0.86,0.8,0.48,0.69,0.68,0.72,0.86,0.25,0.34,0.19,0.49,0.62,0.91,0.26,,82.6,82.1,89.7,76.3,low,82.6,82.6,0.81
Prime Food & Beverage Services Co.,Japan,Construction,1429.7,1429.7,930.7,34.9,6836,142291,142291,48585,1282,12.5,1.93,27,1.03,27.7,26.9,59.3,62.8,true,0.87,0.77,0.78,0.8,0.84,0.67,0.46,0.75,0.6,0.58,0.59,0.64,0.26,0.38,0.13,0.24,0.84,0.59,0.26,,69.4,73.8,60.4,72.7,low,69.4,69.4,0.81
